Time,N
0.000001,394
0.000000,395
0.000001,396
0.000001,397
0.000000,398
0.000001,399
0.000001,400
0.000001,401
0.000000,402
0.000001,403
0.000000,404
0.000001,405
0.000000,406
0.000000,407
0.000001,408
0.000000,409
0.000001,410
0.000001,411
0.000000,412
0.000001,413
0.000000,414
0.000001,415
0.000001,416
0.000000,417
0.000001,418
0.000001,419
0.000000,420
0.000001,421
0.000000,422
0.000001,423
0.000001,424
0.000000,425
0.000001,426
0.000001,427
0.000000,428
0.000001,429
0.000000,430
0.000001,431
0.000001,432
0.000000,433
0.000001,434
0.000001,435
0.000000,436
0.000001,437
0.000000,438
0.000001,439
0.000001,440
0.000000,441
0.000001,442
0.000001,443
0.000000,444
0.000001,445
0.000000,446
0.000001,447
0.000000,448
0.000001,449
0.000000,450
0.000001,451
0.000001,452
0.000000,453
0.000001,454
0.000000,455
0.000001,456
0.000000,457
0.000001,458
0.000001,459
0.000000,460
0.000001,461
0.000001,462
0.000000,463
0.000001,464
0.000000,465
0.000001,466
0.000000,467
0.000001,468
0.000001,469
0.000000,470
0.000001,471
0.000001,472
0.000000,473
0.000001,474
0.000000,475
0.000001,476
0.000000,477
0.000001,478
0.000001,479
0.000000,480
0.000001,481
0.000000,482
0.000001,483
0.000001,484
0.000000,485
0.000001,486
0.000000,487
0.000001,488
0.000000,489
0.000001,490
0.000001,491
0.000000,492
0.000001,493
0.000000,494
0.000000,495
0.000001,496
0.000000,497
0.000001,498
0.000001,499
0.000000,500
0.000001,501
0.000000,502
0.000001,503
0.000000,504
0.000001,505
0.000000,506
0.000001,507
0.000001,508
0.000000,509
0.000001,510
0.000001,511
0.000000,512
0.000001,513
0.000000,514
0.000001,515
0.000000,516
0.000001,517
0.000001,518
0.000000,519
0.000001,520
0.000000,521
0.000001,522
0.000001,523
0.000000,524
0.000001,525
0.000000,526
0.000001,527
0.000000,528
0.000001,529
0.000001,530
0.000000,531
0.000001,532
0.000000,533
0.000001,534
0.000001,535
0.000001,536
0.000000,537
0.000001,538
0.000000,539
0.000001,540
0.000000,541
0.000001,542
0.000000,543
0.000001,544
0.000001,545
0.000000,546
0.000001,547
0.000001,548
0.000000,549
0.000001,550
0.000001,551
0.000000,552
0.000001,553
0.000001,554
0.000000,555
0.000001,556
0.000001,557
0.000000,558
0.000001,559
0.000001,560
0.000000,561
0.000001,562
0.000000,563
0.000001,564
0.000000,565
0.000001,566
0.000001,567
0.000000,568
0.000001,569
0.000001,570
0.000000,571
0.000001,572
0.000000,573
0.000000,574
0.000001,575
0.000000,576
0.000001,577
0.000001,578
0.000000,579
0.000001,580
0.000000,581
0.000001,582
0.000001,583
0.000000,584
0.000001,585
0.000001,586
0.000000,587
0.000001,588
0.000000,589
0.000001,590
0.000001,591
0.000000,592
0.000001,593
0.000001,594
0.000000,595
0.000001,596
0.000000,597
0.000001,598
0.000000,599
0.000001,600
0.000001,601
0.000000,602
0.000001,603
0.000001,604
0.000000,605
0.000001,606
0.000000,607
0.000001,608
0.000000,609
0.000001,610
0.000001,611
0.000000,612
0.000001,613
0.000000,614
0.000001,615
0.000000,616
0.000001,617
0.000001,618
0.000001,619
0.000000,620
0.000001,621
0.000000,622
0.000001,623
0.000000,624
0.000001,625
0.000001,626
0.000000,627
0.000001,628
0.000001,629
0.000000,630
0.000001,631
0.000001,632
0.000000,633
0.000001,634
0.000000,635
0.000001,636
0.000001,637
0.000000,638
0.000001,639
0.000001,640
0.000001,641
0.000001,642
0.000000,643
0.000001,644
0.000000,645
0.000001,646
0.000000,647
0.000001,648
0.000001,649
0.000000,650
0.000001,651
0.000001,652
0.000000,653
0.000001,654
0.000001,655
0.000000,656
0.000001,657
0.000001,658
0.000000,659
0.000001,660
0.000001,661
0.000000,662
0.000001,663
0.000000,664
0.000001,665
0.000001,666
0.000001,667
0.000000,668
0.000001,669
0.000001,670
0.000000,671
0.000001,672
0.000001,673
0.000000,674
0.000001,675
0.000000,676
0.000001,677
0.000001,678
0.000000,679
0.000001,680
0.000000,681
0.000001,682
0.000000,683
0.000000,684
0.000001,685
0.000001,686
0.000000,687
0.000001,688
0.000000,689
0.000001,690
0.000000,691
0.000001,692
0.000001,693
0.000001,694
0.000000,695
0.000001,696
0.000000,697
0.000001,698
0.000001,699
0.000000,700
0.000001,701
0.000000,702
0.000001,703
0.000001,704
0.000000,705
0.000001,706
0.000001,707
0.000000,708
0.000001,709
0.000001,710
0.000000,711
0.000001,712
0.000000,713
0.000001,714
0.000001,715
0.000000,716
0.000001,717
0.000001,718
0.000000,719
0.000001,720
0.000001,721
0.000000,722
0.000001,723
0.000000,724
0.000001,725
0.000001,726
0.000000,727
0.000001,728
0.000001,729
0.000000,730
0.000001,731
0.000001,732
0.000000,733
0.000001,734
0.000000,735
0.000001,736
0.000000,737
0.000001,738
0.000001,739
0.000000,740
0.000001,741
0.000001,742
0.000000,743
0.000001,744
0.000001,745
0.000000,746
0.000001,747
0.000001,748
0.000000,749
0.000001,750
0.000001,751
0.000000,752
0.000001,753
0.000000,754
0.000001,755
0.000001,756
0.000000,757
0.000001,758
0.000001,759
0.000000,760
0.000001,761
0.000001,762
0.000000,763
0.000001,764
0.000001,765
0.000000,766
0.000001,767
0.000001,768
0.000000,769
0.000001,770
0.000000,771
0.000001,772
0.000001,773
0.000000,774
0.000001,775
0.000000,776
0.000001,777
0.000001,778
0.000001,779
0.000000,780
0.000001,781
0.000000,782
0.000001,783
0.000001,784
0.000000,785
0.000001,786
0.000000,787
0.000000,788
0.000001,789
0.000001,790
0.000000,791
0.000001,792
0.000000,793
0.000001,794
0.000000,795
0.000001,796
0.000001,797
0.000000,798
0.000001,799
0.000001,800
0.000000,801
0.000001,802
0.000000,803
0.000001,804
0.000001,805
0.000000,806
0.000001,807
0.000001,808
0.000000,809
0.000000,810
0.000001,811
0.000000,812
0.000001,813
0.000001,814
0.000000,815
0.000001,816
0.000000,817
0.000001,818
0.000001,819
0.000000,820
0.000001,821
0.000001,822
0.000000,823
0.000001,824
0.000000,825
0.000001,826
0.000000,827
0.000001,828
0.000001,829
0.000000,830
0.000001,831
0.000001,832
0.000000,833
0.000001,834
0.000001,835
0.000000,836
0.000001,837
0.000001,838
0.000000,839
0.000001,840
0.000000,841
0.000001,842
0.000001,843
0.000000,844
0.000001,845
0.000001,846
0.000000,847
0.000001,848
0.000000,849
0.000001,850
0.000001,851
0.000000,852
0.000001,853
0.000001,854
0.000000,855
0.000001,856
0.000001,857
0.000000,858
0.000001,859
0.000001,860
0.000000,861
0.000001,862
0.000000,863
0.000001,864
0.000000,865
0.000001,866
0.000001,867
0.000000,868
0.000001,869
0.000001,870
0.000000,871
0.000001,872
0.000000,873
0.000001,874
0.000001,875
0.000000,876
0.000001,877
0.000001,878
0.000000,879
0.000001,880
0.000000,881
0.000001,882
0.000001,883
0.000001,884
0.000000,885
0.000001,886
0.000000,887
0.000001,888
0.000000,889
0.000001,890
0.000001,891
0.000000,892
0.000001,893
0.000001,894
0.000000,895
0.000001,896
0.000001,897
0.000000,898
0.000001,899
0.000001,900
0.000000,901
0.000001,902
0.000001,903
0.000000,904
0.000001,905
0.000001,906
0.000001,907
0.000000,908
0.000001,909
0.000001,910
0.000000,911
0.000001,912
0.000000,913
0.000001,914
0.000000,915
0.000001,916
0.000001,917
0.000000,918
0.000001,919
0.000001,920
0.000000,921
0.000001,922
0.000000,923
0.000000,924
0.000001,925
0.000000,926
0.000001,927
0.000001,928
0.000000,929
0.000000,930
0.000001,931
0.000000,932
0.000000,933
0.000001,934
0.000000,935
0.000001,936
0.000000,937
0.000001,938
0.000000,939
0.000001,940
0.000001,941
0.000000,942
0.000001,943
0.000001,944
0.000001,945
0.000000,946
0.000001,947
0.000001,948
0.000000,949
0.000001,950
0.000000,951
0.000001,952
0.000001,953
0.000000,954
0.000001,955
0.000001,956
0.000001,957
0.000000,958
0.000000,959
0.000001,960
0.000001,961
0.000000,962
0.000001,963
0.000000,964
0.000001,965
0.000001,966
0.000000,967
0.000001,968
0.000001,969
0.000000,970
0.000001,971
0.000000,972
0.000001,973
0.000001,974
0.000000,975
0.000001,976
0.000000,977
0.000001,978
0.000001,979
0.000000,980
0.000000,981
0.000001,982
0.000000,983
0.000001,984
0.000001,985
0.000000,986
0.000001,987
0.000000,988
0.000001,989
0.000000,990
0.000001,991
0.000001,992
0.000001,993
0.000000,994
0.000001,995
0.000000,996
0.000001,997
0.000000,998
0.000001,999
0.000004,1000
0.000000,1001
0.000001,1002
0.000000,1003
0.000001,1004
0.000001,1005
0.000001,1006
0.000000,1007
0.000001,1008
0.000000,1009
0.000001,1010
0.000001,1011
0.000000,1012
0.000001,1013
0.000001,1014
0.000000,1015
0.000001,1016
0.000001,1017
0.000001,1018
0.000000,1019
0.000001,1020
0.000000,1021
0.000001,1022
0.000000,1023
0.000001,1024
0.000001,1025
0.000000,1026
0.000001,1027
0.000001,1028
0.000000,1029
0.000001,1030
0.000000,1031
0.000001,1032
0.000001,1033
0.000000,1034
0.000001,1035
0.000001,1036
0.000000,1037
0.000001,1038
0.000001,1039
0.000000,1040
0.000001,1041
0.000000,1042
0.000001,1043
0.000001,1044
0.000000,1045
0.000000,1046
0.000001,1047
0.000001,1048
0.000000,1049
0.000001,1050
0.000001,1051
0.000000,1052
0.000001,1053
0.000000,1054
0.000001,1055
0.000001,1056
0.000000,1057
0.000001,1058
0.000000,1059
0.000001,1060
0.000000,1061
0.000001,1062
0.000000,1063
0.000001,1064
0.000001,1065
0.000001,1066
0.000000,1067
0.000001,1068
0.000001,1069
0.000000,1070
0.000001,1071
0.000001,1072
0.000001,1073
0.000000,1074
0.000001,1075
0.000000,1076
0.000001,1077
0.000001,1078
0.000000,1079
0.000001,1080
0.000000,1081
0.000001,1082
0.000001,1083
0.000000,1084
0.000001,1085
0.000000,1086
0.000000,1087
0.000001,1088
0.000000,1089
0.000001,1090
0.000000,1091
0.000001,1092
0.000001,1093
0.000000,1094
0.000001,1095
0.000001,1096
0.000000,1097
0.000001,1098
0.000000,1099
0.000001,1100
0.000001,1101
0.000000,1102
0.000001,1103
0.000001,1104
0.000000,1105
0.000000,1106
0.000000,1107
0.000000,1108
0.000000,1109
0.000000,1110
0.000000,1111
0.000001,1112
0.000001,1113
0.000000,1114
0.000000,1115
0.000000,1116
0.000000,1117
0.000000,1118
0.000001,1119
0.000001,1120
0.000000,1121
0.000000,1122
0.000001,1123
0.000001,1124
0.000001,1125
0.000001,1126
0.000001,1127
0.000000,1128
0.000000,1129
0.000000,1130
0.000000,1131
0.000000,1132
0.000000,1133
0.000000,1134
0.000000,1135
0.000000,1136
0.000000,1137
0.000000,1138
0.000000,1139
0.000001,1140
0.000000,1141
0.000000,1142
0.000000,1143
0.000000,1144
0.000000,1145
0.000000,1146
0.000000,1147
0.000000,1148
0.000000,1149
0.000000,1150
0.000001,1151
0.000001,1152
0.000001,1153
0.000001,1154
0.000001,1155
0.000001,1156
0.000001,1157
0.000001,1158
0.000001,1159
0.000001,1160
0.000001,1161
0.000000,1162
0.000000,1163
0.000000,1164
0.000001,1165
0.000000,1166
0.000000,1167
0.000001,1168
0.000001,1169
0.000001,1170
0.000000,1171
0.000000,1172
0.000000,1173
0.000000,1174
0.000001,1175
0.000000,1176
0.000000,1177
0.000000,1178
0.000001,1179
0.000001,1180
0.000001,1181
0.000000,1182
0.000000,1183
0.000000,1184
0.000001,1185
0.000001,1186
0.000000,1187
0.000000,1188
0.000000,1189
0.000001,1190
0.000001,1191
0.000001,1192
0.000001,1193
0.000000,1194
0.000000,1195
0.000000,1196
0.000000,1197
0.000000,1198
0.000000,1199
0.000000,1200
0.000000,1201
0.000000,1202
0.000000,1203
0.000001,1204
0.000001,1205
0.000001,1206
0.000001,1207
0.000000,1208
0.000000,1209
0.000000,1210
0.000000,1211
0.000001,1212
0.000000,1213
0.000000,1214
0.000001,1215
0.000001,1216
0.000001,1217
0.000001,1218
0.000000,1219
0.000001,1220
0.000001,1221
0.000000,1222
0.000000,1223
0.000000,1224
0.000001,1225
0.000001,1226
0.000000,1227
0.000000,1228
0.000000,1229
0.000000,1230
0.000001,1231
0.000001,1232
0.000001,1233
0.000000,1234
0.000000,1235
0.000001,1236
0.000001,1237
0.000001,1238
0.000001,1239
0.000000,1240
0.000001,1241
0.000001,1242
0.000001,1243
0.000001,1244
0.000001,1245
0.000000,1246
0.000000,1247
0.000000,1248
0.000000,1249
0.000001,1250
0.000000,1251
0.000000,1252
0.000000,1253
0.000000,1254
0.000001,1255
0.000000,1256
0.000001,1257
0.000001,1258
0.000000,1259
0.000000,1260
0.000000,1261
0.000000,1262
0.000000,1263
0.000000,1264
0.000000,1265
0.000001,1266
0.000001,1267
0.000000,1268
0.000000,1269
0.000001,1270
0.000001,1271
0.000000,1272
0.000000,1273
0.000000,1274
0.000000,1275
0.000001,1276
0.000000,1277
0.000000,1278
0.000001,1279
0.000000,1280
0.000000,1281
0.000001,1282
0.000001,1283
0.000000,1284
0.000000,1285
0.000001,1286
0.000000,1287
0.000000,1288
0.000000,1289
0.000000,1290
0.000000,1291
0.000000,1292
0.000001,1293
0.000001,1294
0.000001,1295
0.000001,1296
0.000000,1297
0.000001,1298
0.000001,1299
0.000001,1300
0.000000,1301
0.000000,1302
0.000000,1303
0.000000,1304
0.000000,1305
0.000000,1306
0.000000,1307
0.000001,1308
0.000000,1309
0.000000,1310
0.000001,1311
0.000001,1312
0.000001,1313
0.000000,1314
0.000000,1315
0.000000,1316
0.000000,1317
0.000000,1318
0.000000,1319
0.000000,1320
0.000000,1321
0.000001,1322
0.000000,1323
0.000000,1324
0.000001,1325
0.000000,1326
0.000001,1327
0.000000,1328
0.000000,1329
0.000000,1330
0.000001,1331
0.000001,1332
0.000000,1333
0.000000,1334
0.000000,1335
0.000000,1336
0.000000,1337
0.000000,1338
0.000000,1339
0.000001,1340
0.000001,1341
0.000001,1342
0.000000,1343
0.000000,1344
0.000000,1345
0.000000,1346
0.000001,1347
0.000001,1348
0.000001,1349
0.000001,1350
0.000001,1351
0.000000,1352
0.000000,1353
0.000000,1354
0.000000,1355
0.000000,1356
0.000000,1357
0.000001,1358
0.000000,1359
0.000000,1360
0.000000,1361
0.000000,1362
0.000000,1363
0.000000,1364
0.000001,1365
0.000001,1366
0.000000,1367
0.000000,1368
0.000000,1369
0.000000,1370
0.000000,1371
0.000000,1372
0.000001,1373
0.000000,1374
0.000001,1375
0.000001,1376
0.000001,1377
0.000001,1378
0.000001,1379
0.000000,1380
0.000000,1381
0.000000,1382
0.000000,1383
0.000001,1384
0.000001,1385
0.000001,1386
0.000000,1387
0.000000,1388
0.000000,1389
0.000001,1390
0.000001,1391
0.000001,1392
0.000000,1393
0.000001,1394
0.000001,1395
0.000001,1396
0.000000,1397
0.000001,1398
0.000001,1399
0.000000,1400
0.000000,1401
0.000000,1402
0.000000,1403
0.000001,1404
0.000001,1405
0.000000,1406
0.000000,1407
0.000001,1408
0.000001,1409
0.000000,1410
0.000000,1411
0.000000,1412
0.000000,1413
0.000001,1414
0.000001,1415
0.000000,1416
0.000001,1417
0.000000,1418
0.000000,1419
0.000001,1420
0.000000,1421
0.000000,1422
0.000000,1423
0.000001,1424
0.000001,1425
0.000001,1426
0.000001,1427
0.000000,1428
0.000000,1429
0.000000,1430
0.000001,1431
0.000001,1432
0.000000,1433
0.000000,1434
0.000000,1435
0.000001,1436
0.000001,1437
0.000001,1438
0.000000,1439
0.000000,1440
0.000000,1441
0.000000,1442
0.000001,1443
0.000001,1444
0.000000,1445
0.000000,1446
0.000000,1447
0.000000,1448
0.000000,1449
0.000000,1450
0.000001,1451
0.000000,1452
0.000001,1453
0.000001,1454
0.000001,1455
0.000000,1456
0.000000,1457
0.000000,1458
0.000000,1459
0.000001,1460
0.000001,1461
0.000001,1462
0.000001,1463
0.000001,1464
0.000001,1465
0.000001,1466
0.000000,1467
0.000001,1468
0.000001,1469
0.000000,1470
0.000000,1471
0.000000,1472
0.000000,1473
0.000000,1474
0.000000,1475
0.000000,1476
0.000001,1477
0.000001,1478
0.000001,1479
0.000000,1480
0.000000,1481
0.000000,1482
0.000000,1483
0.000001,1484
0.000001,1485
0.000001,1486
0.000000,1487
0.000001,1488
0.000001,1489
0.000000,1490
0.000000,1491
0.000001,1492
0.000001,1493
0.000001,1494
0.000000,1495
0.000001,1496
0.000001,1497
0.000001,1498
0.000000,1499
0.000000,1500
0.000001,1501
0.000001,1502
0.000001,1503
0.000000,1504
0.000000,1505
0.000000,1506
0.000001,1507
0.000001,1508
0.000000,1509
0.000000,1510
0.000000,1511
0.000000,1512
0.000000,1513
0.000000,1514
0.000001,1515
0.000001,1516
0.000000,1517
0.000000,1518
0.000000,1519
0.000000,1520
0.000000,1521
0.000001,1522
0.000001,1523
0.000000,1524
0.000000,1525
0.000000,1526
0.000001,1527
0.000001,1528
0.000001,1529
0.000001,1530
0.000000,1531
0.000000,1532
0.000000,1533
0.000000,1534
0.000000,1535
0.000000,1536
0.000000,1537
0.000000,1538
0.000000,1539
0.000000,1540
0.000001,1541
0.000001,1542
0.000001,1543
0.000000,1544
0.000001,1545
0.000001,1546
0.000001,1547
0.000000,1548
0.000000,1549
0.000000,1550
0.000000,1551
0.000000,1552
0.000000,1553
0.000000,1554
0.000000,1555
0.000000,1556
0.000000,1557
0.000001,1558
0.000000,1559
0.000001,1560
0.000001,1561
0.000000,1562
0.000001,1563
0.000001,1564
0.000001,1565
0.000000,1566
0.000000,1567
0.000000,1568
0.000000,1569
0.000001,1570
0.000001,1571
0.000000,1572
0.000001,1573
0.000001,1574
0.000000,1575
0.000000,1576
0.000000,1577
0.000000,1578
0.000000,1579
0.000001,1580
0.000000,1581
0.000000,1582
0.000000,1583
0.000001,1584
0.000001,1585
0.000001,1586
0.000001,1587
0.000000,1588
0.000000,1589
0.000000,1590
0.000000,1591
0.000000,1592
0.000000,1593
0.000000,1594
0.000000,1595
0.000001,1596
0.000001,1597
0.000001,1598
0.000000,1599
0.000001,1600
0.000001,1601
0.000001,1602
0.000000,1603
0.000000,1604
0.000000,1605
0.000000,1606
0.000001,1607
0.000001,1608
0.000001,1609
0.000001,1610
0.000000,1611
0.000000,1612
0.000000,1613
0.000000,1614
0.000000,1615
0.000001,1616
0.000000,1617
0.000000,1618
0.000000,1619
0.000000,1620
0.000000,1621
0.000000,1622
0.000000,1623
0.000001,1624
0.000001,1625
0.000001,1626
0.000001,1627
0.000000,1628
0.000000,1629
0.000000,1630
0.000000,1631
0.000000,1632
0.000000,1633
0.000000,1634
0.000000,1635
0.000000,1636
0.000001,1637
0.000001,1638
0.000001,1639
0.000001,1640
0.000001,1641
0.000001,1642
0.000001,1643
0.000001,1644
0.000001,1645
0.000001,1646
0.000001,1647
0.000001,1648
0.000000,1649
0.000001,1650
0.000001,1651
0.000000,1652
0.000000,1653
0.000000,1654
0.000000,1655
0.000000,1656
0.000001,1657
0.000001,1658
0.000000,1659
0.000001,1660
0.000001,1661
0.000001,1662
0.000001,1663
0.000001,1664
0.000001,1665
0.000001,1666
0.000000,1667
0.000000,1668
0.000001,1669
0.000001,1670
0.000000,1671
0.000000,1672
0.000000,1673
0.000000,1674
0.000000,1675
0.000000,1676
0.000000,1677
0.000000,1678
0.000000,1679
0.000000,1680
0.000001,1681
0.000001,1682
0.000001,1683
0.000000,1684
0.000000,1685
0.000001,1686
0.000001,1687
0.000000,1688
0.000000,1689
0.000001,1690
0.000001,1691
0.000001,1692
0.000000,1693
0.000001,1694
0.000001,1695
0.000001,1696
0.000001,1697
0.000001,1698
0.000001,1699
0.000001,1700
0.000001,1701
0.000000,1702
0.000000,1703
0.000000,1704
0.000000,1705
0.000001,1706
0.000001,1707
0.000001,1708
0.000000,1709
0.000000,1710
0.000000,1711
0.000000,1712
0.000000,1713
0.000000,1714
0.000000,1715
0.000000,1716
0.000000,1717
0.000000,1718
0.000000,1719
0.000000,1720
0.000001,1721
0.000000,1722
0.000001,1723
0.000000,1724
0.000001,1725
0.000000,1726
0.000001,1727
0.000000,1728
0.000001,1729
0.000000,1730
0.000001,1731
0.000001,1732
0.000000,1733
0.000000,1734
0.000001,1735
0.000001,1736
0.000001,1737
0.000000,1738
0.000001,1739
0.000000,1740
0.000000,1741
0.000000,1742
0.000001,1743
0.000000,1744
0.000000,1745
0.000001,1746
0.000000,1747
0.000001,1748
0.000000,1749
0.000000,1750
0.000000,1751
0.000001,1752
0.000001,1753
0.000000,1754
0.000001,1755
0.000000,1756
0.000001,1757
0.000001,1758
0.000001,1759
0.000001,1760
0.000000,1761
0.000001,1762
0.000001,1763
0.000001,1764
0.000000,1765
0.000001,1766
0.000000,1767
0.000001,1768
0.000000,1769
0.000001,1770
0.000001,1771
0.000000,1772
0.000001,1773
0.000000,1774
0.000001,1775
0.000001,1776
0.000000,1777
0.000001,1778
0.000000,1779
0.000001,1780
0.000001,1781
0.000000,1782
0.000001,1783
0.000000,1784
0.000001,1785
0.000001,1786
0.000000,1787
0.000001,1788
0.000000,1789
0.000001,1790
0.000001,1791
0.000000,1792
0.000001,1793
0.000001,1794
0.000000,1795
0.000001,1796
0.000001,1797
0.000000,1798
0.000001,1799
0.000001,1800
0.000000,1801
0.000001,1802
0.000001,1803
0.000000,1804
0.000001,1805
0.000000,1806
0.000001,1807
0.000000,1808
0.000001,1809
0.000001,1810
0.000001,1811
0.000000,1812
0.000001,1813
0.000000,1814
0.000001,1815
0.000000,1816
0.000001,1817
0.000001,1818
0.000000,1819
0.000001,1820
0.000000,1821
0.000001,1822
0.000001,1823
0.000000,1824
0.000001,1825
0.000000,1826
0.000001,1827
0.000000,1828
0.000001,1829
0.000000,1830
0.000001,1831
0.000001,1832
0.000000,1833
0.000001,1834
0.000001,1835
0.000001,1836
0.000000,1837
0.000001,1838
0.000001,1839
0.000000,1840
0.000001,1841
0.000001,1842
0.000000,1843
0.000001,1844
0.000000,1845
0.000001,1846
0.000000,1847
0.000000,1848
0.000001,1849
0.000001,1850
0.000000,1851
0.000001,1852
0.000000,1853
0.000001,1854
0.000001,1855
0.000000,1856
0.000001,1857
0.000000,1858
0.000001,1859
0.000001,1860
0.000000,1861
0.000001,1862
0.000000,1863
0.000001,1864
0.000001,1865
0.000000,1866
0.000001,1867
0.000000,1868
0.000001,1869
0.000001,1870
0.000000,1871
0.000001,1872
0.000000,1873
